2020-12-12;02:10:22;22
2020-12-12;02:10:23;16
2020-12-12;02:10:24;17
2020-12-12;02:10:25;24
2020-12-12;02:10:26;21
2020-12-12;02:10:27;13
2020-12-12;02:10:28;24
2020-12-12;02:10:29;12
2020-12-12;02:10:30;12
2020-12-12;02:10:31;25
2020-12-12;02:10:32;22
2020-12-12;02:10:33;23
2020-12-12;02:10:34;11
2020-12-12;02:10:35;22
2020-12-12;02:10:36;17
2020-12-12;02:10:37;17
2020-12-12;02:10:38;10
2020-12-12;02:10:39;22
2020-12-12;02:10:40;25
2020-12-12;02:10:41;25
2020-12-12;02:10:42;13
2020-12-12;02:10:43;18
2020-12-12;02:10:44;17
2020-12-12;02:10:45;13
2020-12-12;02:10:46;22
2020-12-12;02:10:47;11
2020-12-12;02:10:48;13
2020-12-12;02:10:49;23
2020-12-12;02:10:50;19
2020-12-12;02:10:51;21
